"Filter","Filter"
"Domain","Domain"
"Hour","Hour"
"Day","Day"
"Month","Month"
"Year","Year"
"Period","Period"
"From","From"
"To","To"
"Report for Domain","Report for Domain"
"Action","Action"
"ID","ID"
"Widget Name","Widget Name"
"Number of Action","Number of Action"
"IP Address","IP Address"
"Number of Actions","Number of Actions"
"Action Time","Action Time"
"CSV","CSV"
"XML","XML"
"General Report","General Report"
"Select Widget","Select Widget"
"Report for Widget","Report for Widget"
"Widget Action Record","Widget Action Record"
"Widget Information","Widget Information"
"Widget Type","Widget Type"
"Website ID","Website ID"
"Store View","Store View"
"Customer will be redirected to this store when clicking on the widget or the button","Customer will be redirected to this store when clicking on the widget or the button"
"Continue","Continue"
"Save Widget","Save Widget"
"Delete Widget","Delete Widget"
"Save And Duplicate","Save And Duplicate"
"Save And Generate Code","Save And Generate Code"
"Save And Continue Edit","Save And Continue Edit"
"Edit Item ","Edit Item "
"Add Widget","Add Widget"
"Store ID","Store ID"
"Lifetime View","Lifetime View"
"Lifetime Click","Lifetime Click"
"Lifetime Orders","Lifetime Orders"
"Created time","Created time"
"Status","Status"
"Edit","Edit"
"Generate Code","Generate Code"
"Generate","Generate"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Change status","Change status"
"Widget Manager","Widget Manager"
"Buy Now","Buy Now"
"View","View"
"Click","Click"
"Buy","Buy"
"Product Page","Product Page"
"Shopping Cart Page","Shopping Cart Page"
"Checkout Page","Checkout Page"
"Enabled","Enabled"
"Disabled","Disabled"
"Product","Product"
"Image","Image"
"Product Slider","Product Slider"
"Content","Content"
"Detail Report","Detail Report"
"Widget Report","Widget Report"
"Domain Report","Domain Report"
"Items Manager","Items Manager"
"Item Manager","Item Manager"
"To show widgets on other page, please set configuration ","To show widgets on other page, please set configuration "
"Widget News","Widget News"
"Widget Item was successfully saved","Widget Item was successfully saved"
"Unable to find item to save","Unable to find item to save"
"Widget Item was successfully duplicated","Widget Item was successfully duplicated"
"Item was successfully deleted","Item was successfully deleted"
"Product Widget","Product Widget"
"Manage Widgets","Manage Widgets"
"View All Actions","View All Actions"
"Reports","Reports"
"Settings","Settings"
"Allow Everything","Allow Everything"
"ProductWidget","ProductWidget"
"Magestore Extension","Magestore Extension"
"General Configuration","General Configuration"
"Enable Product Widget","Enable Product Widget"
"Record widget impression","Record widget impression"
"Record a click after","Record a click after"
"Count click after","Count click after"
"Remove all action record data after deleting widget","Remove all action record data after deleting widget"
"* Number of widget views. Please choose NO if the number of widget views is too high and not very important.","* Number of widget views. Please choose NO if the number of widget views is too high and not very important."
"minute(s). To avoid spam, you should set time between each click counted","minute(s). To avoid spam, you should set time between each click counted"
"Preview Widget","Preview Widget"
"You can preview what you have changed before saving it.","You can preview what you have changed before saving it."
"Widget Size","Widget Size"
"Custom","Custom"
"Width","Width"
"Height","Height"
"Widget Link","Widget Link"
"Custom Link","Custom Link"
"Product SKU","Product SKU"
"You can search by product name or SKU.","You can search by product name or SKU."
"Allowed file types: jpeg, gif, png.","Allowed file types: jpeg, gif, png."
"Save this widget to upload the file.","Save this widget to upload the file."
"Design Settings","Design Settings"
"Widget Design","Widget Design"
"Design 1","Design 1"
"Design 2","Design 2"
"Design 3","Design 3"
"Color Settings","Color Settings"
"Title color","Title color"
"Title background color","Title background color"
"Price color","Price color"
"Short description color","Short description color"
"Hide short description.","Hide short description."
"Background color","Background color"
"Button Settings","Button Settings"
"Use button","Use button"
"Don","Don"
"Button text","Button text"
"Button color","Button color"
"Button text color","Button text color"
"Button link","Button link"
"Copy and paste this into your HTML code wherever you want the widget to appear on your page.","Copy and paste this into your HTML code wherever you want the widget to appear on your page."
"The code has been copied to your clipboard.","The code has been copied to your clipboard."
"You can adjust the value of data-width and data-height for each widget.","You can adjust the value of data-width and data-height for each widget."
"You can also place many widgets in a same page.","You can also place many widgets in a same page."
"Show Report","Show Report"
"Views","Views"
"Clicks","Clicks"
"Orders","Orders"
"Report for domain: %s","Report for domain: %s"
"View, Click, Orders","View, Click, Orders"
"Click/View","Click/View"
"Order/View","Order/View"
"Order/Click","Order/Click"
"Rate report for domain: %s","Rate report for domain: %s"
"Click/View, Order/View, Order/Click","Click/View, Order/View, Order/Click"
"Rate Report","Rate Report"
"Please check again Product SKU.","Please check again Product SKU."
